Pikachu: Electric type, Ash's main Pokémon, Yellow color, Evolves from Pichu, Evolves into Raichu
Jirachi: Steel/Psychic type, Mythical Pokémon, Wish Pokémon, Yellow color, Can grant wishes
Deoxys: Psychic type, Mythical Pokémon, DNA Pokémon, Red color, Has multiple forms
Torterra: Grass/Ground type, Final form of Turtwig, Continent Pokémon, Green color, Has a tree on its back
Infernape: Fire/Fighting type, Final form of Chimchar, Flame Pokémon, Orange color, Can learn Flare Blitz
Empoleon: Water/Steel type, Final form of Piplup, Emperor Pokémon, Blue color, Can learn Hydro Cannon
Luxray: Electric type, Final form of Shinx, Gleam Eyes Pokémon, Blue color, Known for its x-ray vision
Roserade: Grass/Poison type, Final form of Budew, Bouquet Pokémon, Green color, Can learn Petal Dance
Weavile: Dark/Ice type, Evolution of Sneasel, Sharp Claw Pokémon, Black color, Known for its speed
Electivire: Electric type, Final form of Elekid, Thunderbolt Pokémon, Yellow color, Can learn Thunder Punch
Magmortar: Fire type, Final form of Magby, Blast Pokémon, Red color, Can learn Fire Blast
Togekiss: Fairy/Flying type, Final form of Togepi, Jubilee Pokémon, White color, Known for its grace
Leafeon: Grass type, Evolution of Eevee, Verdant Pokémon, Green color, Known for its leaf-like tail
Glaceon: Ice type, Evolution of Eevee, Fresh Snow Pokémon, Blue color, Known for its icy fur
Gliscor: Ground/Flying type, Evolution of Gligar, Fang Scorpion Pokémon, Purple color, Known for its agility
Mamoswine: Ice/Ground type, Final form of Swinub, Twin Tusk Pokémon, Brown color, Known for its tusks
Porygon-Z: Normal type, Final form of Porygon, Virtual Pokémon, Pink color, Known for its digital nature
Gallade: Psychic/Fighting type, Evolution of Kirlia, Blade Pokémon, White color, Has a Mega Evolution
Dusknoir: Ghost type, Final form of Duskull, Gripper Pokémon, Black color, Known for its antenna
Froslass: Ice/Ghost type, Evolution of Snorunt, Snow Land Pokémon, White color, Known for its icy breath
Serperior: Grass type, Final form of Snivy, Regal Pokémon, Green color, Known for its speed
Emboar: Fire/Fighting type, Final form of Tepig, Mega Fire Pig Pokémon, Red color, Known for its strength
Samurott: Water type, Final form of Oshawott, Formidable Pokémon, Blue color, Known for its shell blade
Zoroark: Dark type, Evolution of Zorua, Illusion Fox Pokémon, Gray color, Known for its illusions
Haxorus: Dragon type, Final form of Axew, Axe Jaw Pokémon, Green color, Known for its axe-like tusks
Braviary: Normal/Flying type, Evolution of Rufflet, Valiant Pokémon, Red color, Known for its bravery
Hydreigon: Dark/Dragon type, Final form of Deino, Brutal Pokémon, Blue color, Known for its three heads
Volcarona: Bug/Fire type, Evolution of Larvesta, Sun Pokémon, Red color, Known for its fiery scales
Genesect: Bug/Steel type, Mythical Pokémon, Paleozoic Pokémon, Purple color, Known for its cannon
Chesnaught: Grass/Fighting type, Final form of Chespin, Spiny Armor Pokémon, Green color, Known for its armor
Delphox: Fire/Psychic type, Final form of Fennekin, Fox Pokémon, Red color, Known for its wand
Talonflame: Fire/Flying type, Final form of Fletchling, Scorching Pokémon, Red color, Known for its speed
Aegislash: Steel/Ghost type, Final form of Honedge, Royal Sword Pokémon, Gray color, Known for its shield
Hawlucha: Fighting/Flying type, Single form Pokémon, Wrestling Pokémon, Green color, Known for its moves
Goodra: Dragon type, Final form of Goomy, Dragon Pokémon, Purple color, Known for its gooey body
Noivern: Flying/Dragon type, Final form of Noibat, Sound Wave Pokémon, Purple color, Known for its ears
Zygarde: Dragon/Ground type, Legendary Pokémon, Order Pokémon, Green color, Has multiple forms
Primarina: Water/Fairy type, Final form of Popplio, Soloist Pokémon, Blue color, Known for its singing
Toucannon: Normal/Flying type, Final form of Pikipek, Cannon Pokémon, Black color, Known for its beak
Vikavolt: Bug/Electric type, Final form of Grubbin, Stag Beetle Pokémon, Blue color, Known for its jaws
Lycanroc: Rock type, Evolution of Rockruff, Wolf Pokémon, Brown color, Has multiple forms
Wishiwashi: Water type, Single form Pokémon, Small Fry Pokémon, Blue color, Has a schooling form
Mimikyu: Ghost/Fairy type, Single form Pokémon, Disguise Pokémon, Yellow color, Known for its disguise
Kommo-o: Dragon/Fighting type, Final form of Jangmo-o, Scaly Pokémon, Gray color, Known for its scales
Tapu Koko: Electric/Fairy type, Legendary Pokémon, Land Spirit Pokémon, Yellow color, Guardian of Melemele Island
Tapu Lele: Psychic/Fairy type, Legendary Pokémon, Land Spirit Pokémon, Pink color, Guardian of Akala Island
Tapu Bulu: Grass/Fairy type, Legendary Pokémon, Land Spirit Pokémon, Red color, Guardian of Ula'ula Island
Tapu Fini: Water/Fairy type, Legendary Pokémon, Land Spirit Pokémon, Blue color, Guardian of Poni Island
Solgaleo: Psychic/Steel type, Legendary Pokémon, Sunne Pokémon, White color, Known for its radiant body
Lunala: Psychic/Ghost type, Legendary Pokémon, Moone Pokémon, Purple color, Known for its wings
Nihilego: Rock/Poison type, Ultra Beast, Parasite Pokémon, White color, Known for its jellyfish-like appearance
Buzzwole: Bug/Fighting type, Ultra Beast, Swollen Pokémon, Red color, Known for its muscles
Pheromosa: Bug/Fighting type, Ultra Beast, Lissome Pokémon, White color, Known for its speed
Xurkitree: Electric type, Ultra Beast, Glowing Pokémon, Black color, Known for its wires
Celesteela: Steel/Flying type, Ultra Beast, Launch Pokémon, Gray color, Known for its rocket-like appearance
Kartana: Grass/Steel type, Ultra Beast, Drawn Sword Pokémon, White color, Known for its sharpness
Guzzlord: Dark/Dragon type, Ultra Beast, Junkivore Pokémon, Black color, Known for its appetite
Necrozma: Psychic type, Legendary Pokémon, Prism Pokémon, Black color, Has multiple forms
Magearna: Steel/Fairy type, Mythical Pokémon, Artificial Pokémon, Gray color, Known for its Soul-Heart
Marshadow: Fighting/Ghost type, Mythical Pokémon, Gloomdweller Pokémon, Gray color, Known for its shadowy body
